#abgabe.csv
#Florian Matthias
#Breuker
#12418806
group,number,duration,size
Maximumsuche,1,16767,0
Maximumsuche,2,1253,1
Maximumsuche,3,1203,2
Maximumsuche,4,1262,3
Maximumsuche,5,1303,4
Maximumsuche,6,1343,5
Maximumsuche,7,1563,6
Maximumsuche,8,2566,7
Maximumsuche,9,1563,8
Maximumsuche,10,1393,9
Maximumsuche,11,1393,10
Maximumsuche,12,1744,11
Maximumsuche,13,1834,12
Maximumsuche,14,1683,13
Maximumsuche,15,2496,14
Maximumsuche,16,1683,15
Maximumsuche,17,2526,16
Maximumsuche,18,2164,17
Maximumsuche,19,2104,18
Maximumsuche,20,1994,19
Maximumsuche,21,2376,20
Maximumsuche,22,2656,21
Maximumsuche,23,2175,22
Maximumsuche,24,1854,23
Maximumsuche,25,2295,24
Maximumsuche,26,2185,25
Maximumsuche,27,2315,26
Maximumsuche,28,2506,27
Maximumsuche,29,2115,28
Maximumsuche,30,1975,29
Maximumsuche,31,2084,30
Maximumsuche,32,2215,31
Maximumsuche,33,2035,32
Maximumsuche,34,2115,33
Maximumsuche,35,2014,34
Maximumsuche,36,2295,35
Maximumsuche,37,2025,36
Maximumsuche,38,2054,37
Maximumsuche,39,2566,38
Maximumsuche,40,2806,39
Maximumsuche,41,2215,40
Maximumsuche,42,2165,41
Maximumsuche,43,2416,42
Maximumsuche,44,2215,43
Maximumsuche,45,2305,44
Maximumsuche,46,2285,45
Maximumsuche,47,3949,46
Maximumsuche,48,2406,47
Maximumsuche,49,2335,48
Maximumsuche,50,2987,49
Maximumsuche,51,2496,50
Maximumsuche,52,2355,51
Maximumsuche,53,2395,52
Maximumsuche,54,2586,53
Maximumsuche,55,2405,54
Maximumsuche,56,2535,55
Maximumsuche,57,2526,56
Maximumsuche,58,2566,57
Maximumsuche,59,3718,58
Maximumsuche,60,2766,59
Maximumsuche,61,3247,60
Maximumsuche,62,2766,61
Maximumsuche,63,2786,62
Maximumsuche,64,2806,63
Maximumsuche,65,2966,64
Maximumsuche,66,6083,65
Maximumsuche,67,2796,66
Maximumsuche,68,3157,67
Maximumsuche,69,2806,68
Maximumsuche,70,2736,69
Maximumsuche,71,2736,70
Maximumsuche,72,2856,71
