#find-closest-pair.csv
#Florian Matthias
#Breuker
#12418806
group,number,duration,size
Dichtestes Punktepaar,1,111146,2
Dichtestes Punktepaar,2,20205,3
Dichtestes Punktepaar,3,73072,4
Dichtestes Punktepaar,4,60956,5
Dichtestes Punktepaar,5,71408,6
Dichtestes Punktepaar,6,53158,7
Dichtestes Punktepaar,7,78323,8
Dichtestes Punktepaar,8,79116,9
Dichtestes Punktepaar,9,108089,10
Dichtestes Punktepaar,10,101886,11
Dichtestes Punktepaar,11,113471,12
Dichtestes Punktepaar,12,113051,13
Dichtestes Punktepaar,13,59342,14
Dichtestes Punktepaar,14,63871,15
Dichtestes Punktepaar,15,105334,16
Dichtestes Punktepaar,16,165136,17
Dichtestes Punktepaar,17,109393,18
Dichtestes Punktepaar,18,117030,19
Dichtestes Punktepaar,19,107708,20
Dichtestes Punktepaar,20,84026,21
Dichtestes Punktepaar,21,84337,22
Dichtestes Punktepaar,22,384211,23
Dichtestes Punktepaar,23,82723,24
Dichtestes Punktepaar,24,94048,25
Dichtestes Punktepaar,25,105273,26
Dichtestes Punktepaar,26,121990,27
Dichtestes Punktepaar,27,159834,28
Dichtestes Punktepaar,28,97156,29
Dichtestes Punktepaar,29,161077,30
Dichtestes Punktepaar,30,122111,31
Dichtestes Punktepaar,31,156698,32
Dichtestes Punktepaar,32,161789,33
Dichtestes Punktepaar,33,152458,34
Dichtestes Punktepaar,34,155545,35
Dichtestes Punktepaar,35,109903,36
Dichtestes Punktepaar,36,137796,37
Dichtestes Punktepaar,37,134428,38
Dichtestes Punktepaar,38,132233,39
Dichtestes Punktepaar,39,124937,40
Dichtestes Punktepaar,40,172101,41
Dichtestes Punktepaar,41,141644,42
Dichtestes Punktepaar,42,77121,43
Dichtestes Punktepaar,43,87023,44
Dichtestes Punktepaar,44,108060,45
Dichtestes Punktepaar,45,76239,46
Dichtestes Punktepaar,46,103600,47
Dichtestes Punktepaar,47,118773,48
Dichtestes Punktepaar,48,100894,49
Dichtestes Punktepaar,49,173625,50
Dichtestes Punktepaar,50,95031,51
Dichtestes Punktepaar,51,122802,52
Dichtestes Punktepaar,52,176571,53
Dichtestes Punktepaar,53,95432,54
Dichtestes Punktepaar,54,103539,55
Dichtestes Punktepaar,55,129387,56
Dichtestes Punktepaar,56,89027,57
Dichtestes Punktepaar,57,88977,58
Dichtestes Punktepaar,58,81130,59
Dichtestes Punktepaar,59,93056,60
Dichtestes Punktepaar,60,220980,61
Dichtestes Punktepaar,61,84918,62
Dichtestes Punktepaar,62,93247,63
Dichtestes Punktepaar,63,148539,64
Dichtestes Punktepaar,64,148389,65
Dichtestes Punktepaar,65,141915,66
Dichtestes Punktepaar,66,148138,67
Dichtestes Punktepaar,67,142265,68
Dichtestes Punktepaar,68,10897779,69
Dichtestes Punktepaar,69,167752,70
Dichtestes Punktepaar,70,144069,71
Dichtestes Punktepaar,71,168213,72
Dichtestes Punktepaar,72,164966,73
Dichtestes Punktepaar,73,154643,74
Dichtestes Punktepaar,74,160596,75
Dichtestes Punktepaar,75,163383,76
Dichtestes Punktepaar,76,169827,77
Dichtestes Punktepaar,77,229509,78
Dichtestes Punktepaar,78,478832,79
Dichtestes Punktepaar,79,370651,80
Dichtestes Punktepaar,80,329851,81
Dichtestes Punktepaar,81,440026,82
Dichtestes Punktepaar,82,334571,83
Dichtestes Punktepaar,83,440748,84
Dichtestes Punktepaar,84,452643,85
Dichtestes Punktepaar,85,484324,86
Dichtestes Punktepaar,86,470964,87
Dichtestes Punktepaar,87,503496,88
Dichtestes Punktepaar,88,327756,89
Dichtestes Punktepaar,89,402733,90
Dichtestes Punktepaar,90,355328,91
Dichtestes Punktepaar,91,300065,92
Dichtestes Punktepaar,92,329059,93
Dichtestes Punktepaar,93,326373,94
Dichtestes Punktepaar,94,374270,95
Dichtestes Punktepaar,95,355157,96
Dichtestes Punktepaar,96,380583,97
Dichtestes Punktepaar,97,372475,98
Dichtestes Punktepaar,98,404045,99
Dichtestes Punktepaar,99,451902,100
Dichtestes Punktepaar,100,1073139,200
Dichtestes Punktepaar,101,1537959,300
Dichtestes Punktepaar,102,858072,400
Dichtestes Punktepaar,103,1144888,500
Dichtestes Punktepaar,104,1854210,600
Dichtestes Punktepaar,105,2528455,700
Dichtestes Punktepaar,106,10236052,800
Dichtestes Punktepaar,107,3317895,900
Dichtestes Punktepaar,108,3577722,1000
Dichtestes Punktepaar,109,6686904,1100
Dichtestes Punktepaar,110,12707300,1600
Dichtestes Punktepaar,111,23841212,2100
Dichtestes Punktepaar,112,25747769,2600
Dichtestes Punktepaar,113,34436180,3100
Dichtestes Punktepaar,114,49186208,3600
Dichtestes Punktepaar,115,72782468,4100
Dichtestes Punktepaar,116,74074141,4600
Dichtestes Punktepaar,117,89366341,5100
Dichtestes Punktepaar,118,107123786,5600
Dichtestes Punktepaar,119,144416979,6100
Dichtestes Punktepaar,120,119649413,7100
Dichtestes Punktepaar,121,136031632,8100
Dichtestes Punktepaar,122,263465292,9100
Dichtestes Punktepaar,123,229069229,10100
Dichtestes Punktepaar,124,273463223,11100
Dichtestes Punktepaar,125,323395655,12100
Dichtestes Punktepaar,126,380104252,13100
Dichtestes Punktepaar,127,421680555,14100
Dichtestes Punktepaar,128,485305635,15100
Dichtestes Punktepaar,129,522865936,16100
