#find-max-only.csv
#Florian Matthias
#Breuker
#12418806
group,number,duration,size
Maximumsuche,1,8626,0
Maximumsuche,2,1793,1
Maximumsuche,3,1834,2
Maximumsuche,4,2696,3
Maximumsuche,5,2926,4
Maximumsuche,6,3066,5
Maximumsuche,7,1684,6
Maximumsuche,8,1613,7
Maximumsuche,9,1453,8
Maximumsuche,10,1564,9
Maximumsuche,11,1734,10
Maximumsuche,12,2084,11
Maximumsuche,13,1664,12
Maximumsuche,14,2465,13
Maximumsuche,15,1583,14
Maximumsuche,16,2155,15
Maximumsuche,17,2244,16
Maximumsuche,18,1884,17
Maximumsuche,19,3257,18
Maximumsuche,20,2134,19
Maximumsuche,21,1853,20
Maximumsuche,22,2415,21
Maximumsuche,23,1873,22
Maximumsuche,24,2936,23
Maximumsuche,25,2455,24
Maximumsuche,26,4479,25
Maximumsuche,27,2815,26
Maximumsuche,28,2345,27
Maximumsuche,29,3046,28
Maximumsuche,30,3136,29
Maximumsuche,31,2665,30
Maximumsuche,32,3006,31
Maximumsuche,33,2875,32
Maximumsuche,34,2896,33
Maximumsuche,35,2404,34
Maximumsuche,36,2184,35
Maximumsuche,37,2365,36
Maximumsuche,38,2255,37
Maximumsuche,39,2054,38
Maximumsuche,40,2184,39
Maximumsuche,41,2125,40
Maximumsuche,42,2375,41
Maximumsuche,43,4810,42
Maximumsuche,44,2545,43
Maximumsuche,45,2725,44
Maximumsuche,46,2365,45
Maximumsuche,47,5250,46
Maximumsuche,48,2204,47
Maximumsuche,49,2635,48
Maximumsuche,50,2996,49
Maximumsuche,51,2465,50
Maximumsuche,52,2334,51
Maximumsuche,53,2325,52
Maximumsuche,54,2315,53
Maximumsuche,55,2685,54
Maximumsuche,56,2646,55
Maximumsuche,57,4218,56
Maximumsuche,58,3226,57
Maximumsuche,59,2785,58
Maximumsuche,60,42794,59
Maximumsuche,61,3036,60
Maximumsuche,62,2906,61
Maximumsuche,63,2866,62
Maximumsuche,64,2885,63
Maximumsuche,65,3126,64
Maximumsuche,66,5491,65
Maximumsuche,67,2975,66
Maximumsuche,68,2875,67
Maximumsuche,69,3177,68
Maximumsuche,70,2985,69
Maximumsuche,71,3196,70
Maximumsuche,72,3377,71
Maximumsuche,73,3056,72
Maximumsuche,74,3277,73
Maximumsuche,75,3126,74
Maximumsuche,76,3167,75
Maximumsuche,77,2965,76
Maximumsuche,78,2926,77
Maximumsuche,79,3306,78
Maximumsuche,80,5410,79
Maximumsuche,81,3287,80
Maximumsuche,82,3306,81
Maximumsuche,83,4047,82
Maximumsuche,84,3517,83
Maximumsuche,85,3366,84
Maximumsuche,86,3427,85
Maximumsuche,87,3617,86
Maximumsuche,88,3637,87
Maximumsuche,89,3677,88
Maximumsuche,90,3366,89
Maximumsuche,91,3477,90
Maximumsuche,92,3467,91
Maximumsuche,93,4760,92
Maximumsuche,94,4018,93
Maximumsuche,95,3577,94
Maximumsuche,96,3607,95
Maximumsuche,97,3788,96
Maximumsuche,98,4930,97
Maximumsuche,99,3858,98
Maximumsuche,100,3837,99
Maximumsuche,101,3497,100
Maximumsuche,102,15120,200
Maximumsuche,103,8637,300
Maximumsuche,104,12294,400
Maximumsuche,105,5491,500
Maximumsuche,106,3156,600
Maximumsuche,107,3647,700
Maximumsuche,108,3978,800
Maximumsuche,109,4579,900
Maximumsuche,110,4819,1000
Maximumsuche,111,5290,1100
Maximumsuche,112,5781,1200
Maximumsuche,113,9428,1300
Maximumsuche,114,7986,1400
Maximumsuche,115,6632,1500
Maximumsuche,116,7295,1600
Maximumsuche,117,7405,1700
Maximumsuche,118,8808,1800
Maximumsuche,119,8296,1900
Maximumsuche,120,9268,2000
Maximumsuche,121,9368,2100
Maximumsuche,122,10881,2200
Maximumsuche,123,9849,2300
Maximumsuche,124,10300,2400
Maximumsuche,125,10661,2500
Maximumsuche,126,13165,2600
Maximumsuche,127,11482,2700
Maximumsuche,128,31271,2800
Maximumsuche,129,69005,2900
Maximumsuche,130,12905,3000
Maximumsuche,131,14879,3100
Maximumsuche,132,13456,3200
Maximumsuche,133,13636,3300
Maximumsuche,134,15560,3400
Maximumsuche,135,14538,3500
Maximumsuche,136,15751,3600
Maximumsuche,137,15360,3700
Maximumsuche,138,16872,3800
Maximumsuche,139,15991,3900
Maximumsuche,140,16642,4000
Maximumsuche,141,18136,4100
Maximumsuche,142,17234,4200
Maximumsuche,143,18375,4300
Maximumsuche,144,19368,4400
Maximumsuche,145,33736,4500
Maximumsuche,146,20139,4600
Maximumsuche,147,19187,4700
Maximumsuche,148,20961,4800
Maximumsuche,149,20139,4900
Maximumsuche,150,21652,5000
Maximumsuche,151,48444,5100
Maximumsuche,152,21893,5200
Maximumsuche,153,154381,5300
Maximumsuche,154,22213,5400
Maximumsuche,155,97501,5500
Maximumsuche,156,24568,5600
Maximumsuche,157,74174,5700
Maximumsuche,158,78614,5800
Maximumsuche,159,76789,5900
Maximumsuche,160,31812,6000
Maximumsuche,161,71369,6100
Maximumsuche,162,28085,6200
Maximumsuche,163,77471,6300
Maximumsuche,164,28786,6400
Maximumsuche,165,74265,6500
Maximumsuche,166,27745,6600
Maximumsuche,167,69405,6700
Maximumsuche,168,9869,6800
Maximumsuche,169,3818,6900
Maximumsuche,170,3567,7000
Maximumsuche,171,4038,7100
Maximumsuche,172,3967,7200
Maximumsuche,173,3748,7300
Maximumsuche,174,4038,7400
Maximumsuche,175,4859,7500
Maximumsuche,176,3617,7600
Maximumsuche,177,4108,7700
Maximumsuche,178,3878,7800
Maximumsuche,179,4339,7900
Maximumsuche,180,4368,8000
Maximumsuche,181,3697,8100
Maximumsuche,182,3998,8200
Maximumsuche,183,5170,8300
Maximumsuche,184,6092,8400
Maximumsuche,185,4920,8500
Maximumsuche,186,5210,8600
Maximumsuche,187,5371,8700
Maximumsuche,188,4549,8800
Maximumsuche,189,4950,8900
Maximumsuche,190,4368,9000
Maximumsuche,191,4469,9100
Maximumsuche,192,21993,9200
Maximumsuche,193,6423,9300
Maximumsuche,194,6052,9400
Maximumsuche,195,5681,9500
Maximumsuche,196,7004,9600
Maximumsuche,197,5621,9700
Maximumsuche,198,5451,9800
Maximumsuche,199,4419,9900
Maximumsuche,200,4189,10000
Maximumsuche,201,3987,10100
Maximumsuche,202,4719,10200
Maximumsuche,203,5180,10300
Maximumsuche,204,4830,10400
Maximumsuche,205,4850,10500
Maximumsuche,206,4839,10600
Maximumsuche,207,4870,10700
Maximumsuche,208,5000,10800
Maximumsuche,209,10520,10900
Maximumsuche,210,4960,11000
Maximumsuche,211,5120,11100
Maximumsuche,212,5490,11200
Maximumsuche,213,4840,11300
Maximumsuche,214,4829,11400
Maximumsuche,215,5301,11500
Maximumsuche,216,5862,11600
Maximumsuche,217,4609,11700
Maximumsuche,218,5471,11800
Maximumsuche,219,5451,11900
Maximumsuche,220,5631,12000
Maximumsuche,221,5300,12100
Maximumsuche,222,5471,12200
Maximumsuche,223,5331,12300
Maximumsuche,224,5581,12400
Maximumsuche,225,5370,12500
Maximumsuche,226,5671,12600
Maximumsuche,227,5962,12700
Maximumsuche,228,8717,12800
Maximumsuche,229,5851,12900
Maximumsuche,230,5891,13000
Maximumsuche,231,7074,13100
Maximumsuche,232,6432,13200
Maximumsuche,233,6913,13300
Maximumsuche,234,5921,13400
Maximumsuche,235,5872,13500
Maximumsuche,236,5261,13600
Maximumsuche,237,5722,13700
Maximumsuche,238,7535,13800
Maximumsuche,239,5841,13900
Maximumsuche,240,5220,14000
Maximumsuche,241,5641,14100
Maximumsuche,242,5731,14200
Maximumsuche,243,6843,14300
Maximumsuche,244,6212,14400
Maximumsuche,245,6132,14500
Maximumsuche,246,5671,14600
Maximumsuche,247,6132,14700
Maximumsuche,248,5961,14800
Maximumsuche,249,6022,14900
Maximumsuche,250,6082,15000
Maximumsuche,251,5871,15100
Maximumsuche,252,7294,15200
Maximumsuche,253,6814,15300
Maximumsuche,254,6703,15400
Maximumsuche,255,9308,15500
Maximumsuche,256,8096,15600
Maximumsuche,257,7394,15700
Maximumsuche,258,7414,15800
Maximumsuche,259,7825,15900
Maximumsuche,260,8456,16000
Maximumsuche,261,6673,16100
Maximumsuche,262,9167,16200
Maximumsuche,263,6403,16300
Maximumsuche,264,5782,16400
Maximumsuche,265,7003,16500
Maximumsuche,266,6984,16600
Maximumsuche,267,8045,16700
Maximumsuche,268,6613,16800
Maximumsuche,269,6533,16900
Maximumsuche,270,6713,17000
Maximumsuche,271,8446,17100
Maximumsuche,272,6483,17200
Maximumsuche,273,6352,17300
Maximumsuche,274,6593,17400
Maximumsuche,275,6413,17500
Maximumsuche,276,7595,17600
Maximumsuche,277,6894,17700
Maximumsuche,278,6353,17800
Maximumsuche,279,6302,17900
Maximumsuche,280,9127,18000
Maximumsuche,281,8977,18100
Maximumsuche,282,8737,18200
Maximumsuche,283,8987,18300
Maximumsuche,284,9919,18400
Maximumsuche,285,8437,18500
Maximumsuche,286,9448,18600
Maximumsuche,287,9278,18700
Maximumsuche,288,9799,18800
Maximumsuche,289,9238,18900
Maximumsuche,290,12425,19000
Maximumsuche,291,11783,19100
Maximumsuche,292,9719,19200
Maximumsuche,293,12574,19300
Maximumsuche,294,8056,19400
Maximumsuche,295,9479,19500
Maximumsuche,296,9568,19600
Maximumsuche,297,9509,19700
Maximumsuche,298,9208,19800
Maximumsuche,299,9698,19900
Maximumsuche,300,9398,20000
Maximumsuche,301,11182,20100
Maximumsuche,302,9679,20200
Maximumsuche,303,11272,20300
Maximumsuche,304,10401,20400
Maximumsuche,305,9248,20500
