#subset-sum-only.csv
#Florian Matthias
#Breuker
#12418806
group,number,duration,size
Teilsummen - Negativ,1,12985,1
Teilsummen - Negativ,2,3497,1
Teilsummen - Negativ,3,2385,1
Teilsummen - Negativ,4,3397,1
Teilsummen - Negativ,5,2405,1
Teilsummen - Negativ,6,3617,1
Teilsummen - Negativ,7,3367,1
Teilsummen - Negativ,8,3026,1
Teilsummen - Negativ,9,2876,1
Teilsummen - Negativ,10,2274,1
Teilsummen - Negativ,11,3637,2
Teilsummen - Negativ,12,4008,2
Teilsummen - Negativ,13,5060,2
Teilsummen - Negativ,14,4589,2
Teilsummen - Negativ,15,2756,2
Teilsummen - Negativ,16,3046,2
Teilsummen - Negativ,17,2665,2
Teilsummen - Negativ,18,1463,2
Teilsummen - Negativ,19,2655,2
Teilsummen - Negativ,20,2314,2
Teilsummen - Negativ,21,5691,3
Teilsummen - Negativ,22,4680,3
Teilsummen - Negativ,23,3397,3
Teilsummen - Negativ,24,3126,3
Teilsummen - Negativ,25,62353,3
Teilsummen - Negativ,26,3597,3
Teilsummen - Negativ,27,3688,3
Teilsummen - Negativ,28,4549,3
Teilsummen - Negativ,29,3938,3
Teilsummen - Negativ,30,3787,3
Teilsummen - Negativ,31,11723,4
Teilsummen - Positiv,32,4880,4
Teilsummen - Negativ,33,5441,4
Teilsummen - Negativ,34,4939,4
Teilsummen - Negativ,35,36192,4
Teilsummen - Negativ,36,4309,4
Teilsummen - Negativ,37,2896,4
Teilsummen - Negativ,38,2155,4
Teilsummen - Negativ,39,2755,4
Teilsummen - Negativ,40,2385,4
Teilsummen - Negativ,41,2625,5
Teilsummen - Negativ,42,2766,5
Teilsummen - Negativ,43,3947,5
Teilsummen - Negativ,44,3918,5
Teilsummen - Negativ,45,3847,5
Teilsummen - Negativ,46,4389,5
Teilsummen - Negativ,47,2595,5
Teilsummen - Negativ,48,4148,5
Teilsummen - Negativ,49,3878,5
Teilsummen - Negativ,50,3507,5
Teilsummen - Negativ,51,4670,6
Teilsummen - Negativ,52,4900,6
Teilsummen - Negativ,53,2876,6
Teilsummen - Negativ,54,2806,6
Teilsummen - Negativ,55,2495,6
Teilsummen - Positiv,56,2405,6
Teilsummen - Negativ,57,3306,6
Teilsummen - Negativ,58,79107,6
Teilsummen - Negativ,59,2545,6
Teilsummen - Negativ,60,4138,6
Teilsummen - Negativ,61,8747,7
Teilsummen - Negativ,62,5320,7
Teilsummen - Negativ,63,5370,7
Teilsummen - Positiv,64,4499,7
Teilsummen - Negativ,65,6613,7
Teilsummen - Negativ,66,4709,7
Teilsummen - Negativ,67,5240,7
Teilsummen - Negativ,68,4368,7
Teilsummen - Negativ,69,5601,7
Teilsummen - Negativ,70,3988,7
Teilsummen - Negativ,71,6573,8
Teilsummen - Positiv,72,33466,8
Teilsummen - Negativ,73,3928,8
Teilsummen - Negativ,74,8446,8
Teilsummen - Negativ,75,3777,8
Teilsummen - Negativ,76,6032,8
Teilsummen - Negativ,77,3888,8
Teilsummen - Negativ,78,5871,8
Teilsummen - Positiv,79,5270,8
Teilsummen - Negativ,80,7114,8
Teilsummen - Positiv,81,8517,9
Teilsummen - Positiv,82,7605,9
Teilsummen - Negativ,83,11113,9
Teilsummen - Negativ,84,10030,9
Teilsummen - Negativ,85,8948,9
Teilsummen - Positiv,86,13146,9
